"Country","RFMOnew","combined"
"China","IATTC","oppose"
"Chinese Taipei/Taiwan","IATTC","oppose"
"Colombia","IATTC","mixed"
"European Union","IATTC","mixed"
"Japan","IATTC","mixed"
"Korea","IATTC","oppose"
"Mexico","IATTC","mixed"
"Nigaragua","IATTC","mixed"
"Belize","IATTC","support"
"Costa Rica","IATTC","support"
"El Salvador","IATTC","support"
"Guatemala","IATTC","support"
"Panama","IATTC","support"
"USA ","IATTC","support"
