"Country","RFMOnew","combined"
"Australia","IOTC","mixed"
"China","IOTC","oppose"
"Japan","IOTC","oppose"
"Korea","IOTC","oppose"
"India","IOTC","oppose"
"European Union","IOTC","support"
"France","IOTC","support"
"Maldives","IOTC","support"
"South Africa","IOTC","support"
"Seychelles","IOTC","support"
"Maldives","IOTC","support"
