"CountryName","Species","consValue"
"Colombia","Manta spp.",1
"Comoros","Manta spp.",1
"Congo","Manta spp.",1
"Croatia ","Manta spp.",1
"Ecuador","Manta spp.",1
"El Salvador","Manta spp.",1
"European Union","Manta spp.",1
"Guatemala","Manta spp.",1
"Honduras","Manta spp.",1
"Ireland","Manta spp.",1
"Japan","Manta spp.",0
"Liberia","Manta spp.",1
"Mali","Manta spp.",1
"Mexico","Manta spp.",1
"Mozambique","Manta spp.",1
"Niger","Manta spp.",1
"Panama","Manta spp.",1
"Paraguay","Manta spp.",1
"Peru","Manta spp.",1
"Qatar","Manta spp.",1
"South Africa","Manta spp.",1
"Thailand","Manta spp.",1
"United States","Manta spp.",1
"Uruguay","Manta spp.",1
"Argentina","Carcharhinus falciformis",1
"Bahamas","Carcharhinus falciformis",1
"Bahrain","Carcharhinus falciformis",1
"China","Carcharhinus falciformis",0
"The Democratic Republic of The Congo","Carcharhinus falciformis",1
"Dominican Republic","Carcharhinus falciformis",1
"Ethiopia","Carcharhinus falciformis",1
"Iceland","Carcharhinus falciformis",0
"Indonesia","Carcharhinus falciformis",0
"Jamaica","Carcharhinus falciformis",1
"Japan","Carcharhinus falciformis",0
"Maldives","Carcharhinus falciformis",1
"Mexico","Carcharhinus falciformis",1
"New Zealand","Carcharhinus falciformis",1
"Qatar","Carcharhinus falciformis",0
"Saint Kitts and Nevis","Carcharhinus falciformis",0
"Sri Lanka","Carcharhinus falciformis",1
"Argentina","Alopias spp.",1
"Chile","Alopias spp.",1
"Colombia","Alopias spp.",1
"European Union","Alopias spp.",1
"Iceland","Alopias spp.",0
"India","Alopias spp.",1
"Japan","Alopias spp.",0
"Panama","Alopias spp.",1
"Peru","Alopias spp.",1
"Philippines","Alopias spp.",1
"Qatar","Alopias spp.",0
"Senegal","Alopias spp.",1
"Sri Lanka","Alopias spp.",1
"Bolivarian Republic of Venezuela","Alopias spp.",1
"Canada","Mobula spp.",1
"Cape Verde","Mobula spp.",1
"Colombia","Mobula spp.",1
"Costa Rica","Mobula spp.",1
"Ecuador","Mobula spp.",1
"Fiji","Mobula spp.",1
"Iceland","Mobula spp.",0
"Japan","Mobula spp.",0
"Myanmar","Mobula spp.",0
"Antigua and Barbuda","Isurus spp.",0
"China","Isurus spp.",0
"Colombia","Isurus spp.",1
"Costa Rica","Isurus spp.",1
"Cuba","Isurus spp.",1
"Ecuador","Isurus spp.",1
"European Union","Isurus spp.",1
"Gabon","Isurus spp.",1
"Iceland","Isurus spp.",0
"India","Isurus spp.",1
"Indonesia","Isurus spp.",0
"Japan","Isurus spp.",0
"Malaysia","Isurus spp.",0
"Mexico","Isurus spp.",1
"Monaco","Isurus spp.",1
"New Zealand","Isurus spp.",0
"Nigeria","Isurus spp.",1
"Palau","Isurus spp.",1
"Paraguay","Isurus spp.",1
"Qatar","Isurus spp.",0
"Samoa","Isurus spp.",1
"Senegal","Isurus spp.",1
"Seychelles","Isurus spp.",1
"Solomon Islands","Isurus spp.",0
"South Africa","Isurus spp.",0
"United States","Isurus spp.",0
